"","long","lat","group","year"
"32847",-116.73,34.2,"75.3",2006
"32918",-116.72,34.2,"75.3",2006
"32981",-116.72,34.19,"75.3",2006
"33401",-116.78,34.23,"75.3",2006
"33465",-116.98,34.13,"75.4",2006
"33486",-116.98,34.12,"75.4",2006
"33584",-116.98,34.11,"75.4",2006
"33629",-116.97,34.11,"75.4",2006
"33658",-116.97,34.1,"75.4",2006
"33686",-116.96,34.1,"75.4",2006
"34043",-116.98,34.14,"75.4",2006
"34146",-116.83,34.17,"75.5",2006
"34161",-116.83,34.17,"75.6",2006
"34165",-116.83,34.17,"75.7",2006
"34169",-116.83,34.17,"75.8",2006
"34173",-116.72,33.75,"76.1",2006
"34185",-116.72,33.75,"77.1",2006
"34197",-116.72,33.75,"78.1",2006
"34209",-116.75,33.73,"79.1",2006
"34226",-116.76,33.73,"79.1",2006
"34364",-116.75,33.73,"79.2",2006
"34368",-116.75,33.73,"79.3",2006
"34372",-116.75,33.73,"80.1",2006
"34389",-116.76,33.73,"80.1",2006
"34527",-116.75,33.73,"80.2",2006
"34531",-116.75,33.73,"80.3",2006
"34535",-116.75,33.73,"81.1",2006
"34552",-116.76,33.73,"81.1",2006
"34690",-116.75,33.73,"81.2",2006
"34694",-116.75,33.73,"81.3",2006
"34698",-116.75,33.73,"82.1",2006
"34715",-116.76,33.73,"82.1",2006
"34853",-116.75,33.73,"82.2",2006
"34857",-116.75,33.73,"82.3",2006
"34861",-116.75,33.75,"83.1",2006
"34909",-116.74,33.75,"83.1",2006
"34937",-116.74,33.74,"83.1",2006
"34980",-116.75,33.74,"83.1",2006
"35443",-120.58,41.87,"84.1",2006
"35588",-120.58,41.88,"84.1",2006
"35847",-120.57,41.87,"84.1",2006
"36095",-120.57,41.86,"84.1",2006
"36190",-120.58,41.86,"84.1",2006
"36278",-120.58,41.85,"84.1",2006
"36430",-120.59,41.85,"84.1",2006
"36553",-120.59,41.86,"84.1",2006
"36812",-120.6,41.86,"84.1",2006
"36848",-120.6,41.87,"84.1",2006
"36938",-120.59,41.87,"84.1",2006
